rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,graph,status
470,22-04-2015,Avengers: Age of Ultron,/movie/Avengers-Age-of-Ultron#tab=summary,365000000,459005868,1395316979,191271109,PG-13,Action,4276,141,,PROFIT
471,17-12-2003,The Lord of the Rings: The Return of the King,/movie/Lord-of-the-Rings-The-Return-of-the-King-The#tab=summary,94000000,377845905,1120214046,72629713,PG-13,Adventure,3703,201,,PROFIT
472,06-06-2018,Jurassic World: Fallen Kingdom,/movie/Jurassic-World-Fallen-Kingdom-(2018)#tab=summary,170000000,417719760,1308334005,148024610,PG-13,Action,4485,128,,PROFIT
473,07-03-2008,"10,000 B.C.",/movie/10-000-B-C#tab=summary,105000000,94784201,269065678,35867488,PG-13,Adventure,3454,109,,PROFIT
474,27-05-2015,San Andreas,/movie/San-Andreas#tab=summary,110000000,155190832,456258539,54588173,PG-13,Adventure,3812,114,,PROFIT
475,05-07-2018,Skyscraper,/movie/Skyscraper#tab=summary,125000000,68420120,304868961,24905015,PG,Action,3822,103,,PROFIT
476,19-05-2000,Dinosaur,/movie/Dinosaur#tab=summary,127500000,137748063,356148063,38854851,PG,Adventure,3319,82,,PROFIT
477,21-06-2013,Monsters University,/movie/Monsters-University#tab=summary,200000000,268488329,743455810,82429469,G,Adventure,4004,102,,PROFIT
478,16-03-2017,Beauty and the Beast,/movie/Beauty-and-the-Beast-(2017)#tab=summary,160000000,504014165,1270042058,174750616,PG,Musical,4210,123,,PROFIT
479,09-07-2014,Dawn of the Planet of the Apes,/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary,170000000,208545589,710644566,72611427,PG-13,Adventure,3969,130,,PROFIT
480,12-02-2010,The Wolfman,/movie/Wolfman-The-(2010)#tab=summary,150000000,62189884,142634358,31479235,R,Horror,3223,102,,LOSS
481,10-12-2010,The Tourist,/movie/Tourist-The#tab=summary,100000000,67631157,278731369,16472458,PG-13,Thriller/Suspense,2756,102,,PROFIT
482,14-01-2011,The Green Hornet,/movie/Green-Hornet-The#tab=summary,110000000,98780042,229155503,33526876,PG-13,Action,3584,118,,PROFIT
483,15-07-2005,Charlie and the Chocolate Factory,/movie/Charlie-and-the-Chocolate-Factory-(2005)#tab=summary,150000000,206459076,475825484,56178450,PG,Adventure,3790,115,,PROFIT
484,19-07-2012,The Dark Knight Rises,/movie/Dark-Knight-Rises-The#tab=summary,230000000,448139099,1082228107,160887295,PG-13,Action,4404,164,,PROFIT
485,13-11-2017,Justice League,/movie/Justice-League-(2017)#tab=summary,300000000,229024295,655945209,93842239,PG-13,Action,4051,121,,PROFIT
486,03-01-2020,The Call of the Wild,/movie/Call-of-the-Wild-The-(2020)#tab=summary,125000000,62342368,107360936,24791624,PG,Adventure,3914,100,,LOSS
487,16-07-2018,Mission: Impossible—Fallout,/movie/Mission-Impossible-Fallout#tab=summary,178000000,220159104,787176729,61236534,PG-13,Action,4395,147,,PROFIT
